Symbol,Description,"Total revenue, Trailing 12 months","Total revenue, Trailing 12 months - Currency","Revenue growth %, TTM YoY","Gross profit, Trailing 12 months","Gross profit, Trailing 12 months - Currency","Operating income, Trailing 12 months","Operating income, Trailing 12 months - Currency","Net income, Trailing 12 months","Net income, Trailing 12 months - Currency","EBITDA, Trailing 12 months","EBITDA, Trailing 12 months - Currency","EPS diluted, Trailing 12 months","EPS diluted, Trailing 12 months - Currency","EPS diluted growth %, TTM YoY"
MDLZ,"Mondelez International, Inc.",35976000000,USD,5.405642963874480,15169000000,USD,7294000000,USD,3947000000,USD,8552000000,USD,2.9027,USD,-3.6927670869276700
SO,Southern Company (The),26134000000,USD,-5.486239195689130,8410000000,USD,6940000000,USD,4609000000,USD,12050000000,USD,4.1949,USD,48.68150563550010
ICE,Intercontinental Exchange Inc.,10464000000,USD,15.343915343915300,7355000000,USD,4167000000,USD,2313000000,USD,5617000000,USD,4.0404,USD,34.303948942959700
SHW,Sherwin-Williams Company (The),23007700000,USD,0.20382476296660800,11059300000,USD,3744500000,USD,2512800000,USD,4360700000,USD,9.8093,USD,8.85554803413492
DUK,Duke Energy Corporation (Holding Company),30049000000,USD,3.002776539951330,9162000000,USD,7725000000,USD,4398000000,USD,13214000000,USD,5.5653,USD,209.78569440578900
CL,Colgate-Palmolive Company,19988000000,USD,7.025058899121870,11931000000,USD,4517000000,USD,2840000000,USD,5118000000,USD,3.4404,USD,91.82603847226090
WM,"Waste Management, Inc.",20976000000,USD,4.769991508915640,6109000000,USD,4134000000,USD,2544000000,USD,6367000000,USD,6.2943,USD,13.072611648043700
SCCO,Southern Copper Corporation,10519300000,USD,4.4430985523938100,4865400000,USD,4734900000,USD,2750700000,USD,5574200000,USD,3.5068,USD,-0.9881980913659640
ZTS,Zoetis Inc.,8915000000,USD,8.428606178545370,6091000000,USD,3214000000,USD,2344000000,USD,3717000000,USD,5.1068,USD,7.445980348839640
APH,Amphenol Corporation,13392700000,USD,6.610254491613800,4451000000,USD,2826800000,USD,2101900000,USD,3270200000,USD,1.6783,USD,9.179026801977620
GD,General Dynamics Corporation,44946000000,USD,10.002692185320200,7044000000,USD,4537000000,USD,3545000000,USD,5367000000,USD,12.8285,USD,5.275899422268900
TT,Trane Technologies plc,18829900000.098,USD,11.974096561226600,6524800000.03443,USD,3232700000.01715,USD,2322200000.01232,USD,3600300000,USD,10.1132,USD,24.811176383472400
CMG,"Chipotle Mexican Grill, Inc.",10663233000,USD,14.854103577546900,2558554000,USD,1849356000,USD,1410261000,USD,2180199000,USD,1.0205,USD,27.46689982513120
